Compound;Conc_ppm;S1_T1;S2_T1;S3_T1;S4_T1;S5_T1;S6_T1;measure_id;Source_id;UoM
n-Heptane;0;0;0;0;0;0;0;1;MS1;µS*s
n-Heptane;1.7;0.070300787;0.302941905;215.3401525;304.6574544;227.7778914;1059.825364;1;MS1;µS*s
n-Heptane;17;0.297559064;1.008622881;712.3459359;1098.150907;754.0622983;3564.733103;1;MS1;µS*s
n-Heptane;168;1.727309651;6.789956451;2774.731994;3649.281449;2751.79593;12179.30831;1;MS1;µS*s
n-Heptane;300;2.792970135;12.89688045;5135.611019;6174.323647;4969.03022;20540.95244;1;MS1;µS*s
n-Heptane;500;5.064176618;20.4307017;7984.765589;10307.03066;8051.669337;32589.01109;1;MS1;µS*s
Propan-1-ol;0;0;0;0;0;0;0;1;MS1;µS*s
Propan-1-ol;0.6;0.029283019;0.059245283;7.61392;2.173398348;1.0428;2.8676;1;MS1;µS*s
Propan-1-ol;6;0.11909434;0.187290566;26.31845664;7.61649378;3.31063052;9.26551168;1;MS1;µS*s
Propan-1-ol;60;0.677746419;1.315407757;122.8454472;25.82190884;13.53593835;33.03456667;1;MS1;µS*s
Propan-1-ol;120;1.462641509;2.801886792;217.6;51.84;24.96;56.4;1;MS1;µS*s
Propan-1-ol;240;2.781886792;5.660377358;396.8;104;45.33333333;118.8;1;MS1;µS*s
Propan-1-ol;480;5.830188679;11.38113208;758.2666667;222.2;98.93333333;250.8;1;MS1;µS*s
Ethylbenzene;0;0;0;0;0;0;0;1;MS1;µS*s
Ethylbenzene;0.48;0.106492183;0.257379605;38.36058383;10.69588222;9.959095468;39.2450652;1;MS1;µS*s
Ethylbenzene;4.8;0.388103155;0.797021387;128.0706185;42.13092153;32.51075193;141.334581;1;MS1;µS*s
Ethylbenzene;48;2.516617683;5.718791747;516.2218087;144.4780209;117.0255413;473.9749778;1;MS1;µS*s
Ethylbenzene;96;4.672978421;12.29520407;931.7860022;252.9756517;215.7927611;843.1210299;1;MS1;µS*s
Ethylbenzene;192;7.169811321;22.36981132;1510.666667;410.0544;348.8;1365;1;MS1;µS*s
Ethylbenzene;384;12.1509434;33.28301887;2417.333333;702;710.2666667;2194.5;1;MS1;µS*s
n-Heptane;0;0;0;0;0;0;0;2;MS1;µS*s
n-Heptane;1.7;0.071765386;0.305971324;223.7028769;275.9161851;239.8937367;989.8368967;2;MS1;µS*s
n-Heptane;17;0.294670141;1.028999101;719.1301829;955.7980114;761.6029213;3672.755318;2;MS1;µS*s
n-Heptane;168;1.881228333;7.790581612;2628.693468;3432.492452;2958.920355;12422.89447;2;MS1;µS*s
n-Heptane;300;3.222657848;12.00303725;4897.85125;5580.638681;4530.586377;19553.40665;2;MS1;µS*s
n-Heptane;500;5.064176618;21.92044036;8138.318773;11440.80403;7438.208816;30613.91951;2;MS1;µS*s
Propan-1-ol;0;0;0;0;0;0;0;2;MS1;µS*s
Propan-1-ol;0.6;0.032301887;0.061615094;9.1036;1.94785701;0.9796;2.4656;2;MS1;µS*s
Propan-1-ol;6;0.127430943;0.195260377;28.1983464;7.108727528;3.21229496;9.26551168;2;MS1;µS*s
Propan-1-ol;60;0.720551456;1.329551927;109.9759242;23.9961173;12.49471232;31.38283833;2;MS1;µS*s
Propan-1-ol;120;1.433962264;2.886792453;196.2666667;50.88;23.28;59.4;2;MS1;µS*s
Propan-1-ol;240;2.781886792;5.773584906;450.5333333;98;43.97333333;118.8;2;MS1;µS*s
Propan-1-ol;480;6;11.70943396;766.3333333;220;90.53333333;268.5333333;2;MS1;µS*s
Ethylbenzene;0;0;0;0;0;0;0;2;MS1;µS*s
Ethylbenzene;0.48;0.100406916;0.242089728;39.09828736;11.35748318;9.568542705;39.64148;2;MS1;µS*s
Ethylbenzene;4.8;0.368097838;0.899862856;116.1014018;38.22991027;30.0800415;149.9003132;2;MS1;µS*s
Ethylbenzene;48;2.372810958;6.144659217;474.5069151;137.4645248;133.9158256;508.1793576;2;MS1;µS*s
Ethylbenzene;96;4.528453315;11.19959182;903.2619409;273.6267253;215.7927611;860.8709463;2;MS1;µS*s
Ethylbenzene;192;7.924528302;22.36981132;1481.333333;410.0544;396.0333333;1500;2;MS1;µS*s
Ethylbenzene;384;12.54716981;32.60377358;2565.333333;689;660.548;2152.7;2;MS1;µS*s
n-Heptane;0;0;0;0;0;0;0;3;MS1;µS*s
n-Heptane;1.7;0.072497686;0.324147838;217.4308336;264.4196774;235.0473986;989.8368967;3;MS1;µS*s
n-Heptane;17;0.265780912;1.039187211;705.5616888;1067.646715;716.3591834;3564.733103;3;MS1;µS*s
n-Heptane;168;1.829922105;7.218795806;2745.524289;3432.492452;2899.741948;11692.13598;3;MS1;µS*s
n-Heptane;300;2.977122012;12.51380479;5135.611019;5996.218157;4871.598254;20343.44328;3;MS1;µS*s
n-Heptane;500;4.603796926;19.79224227;8215.095365;10410.10097;8205.034467;29955.55565;3;MS1;µS*s
Propan-1-ol;0;0;0;0;0;0;0;3;MS1;µS*s
Propan-1-ol;0.6;0.027471698;0.061022642;8.60704;2.173398348;1.0744;2.7336;3;MS1;µS*s
Propan-1-ol;6;0.12266717;0.185298113;25.24423392;6.673499312;3.1139594;9.748090413;3;MS1;µS*s
Propan-1-ol;60;0.763356493;1.414416943;119.3355773;25.03942675;12.10425256;34.35594933;3;MS1;µS*s
Propan-1-ol;120;1.30490566;3.056603774;226.1333333;45.12;23.04;62.4;3;MS1;µS*s
Propan-1-ol;240;2.925283019;5.490566038;434;99;43.52;111.6;3;MS1;µS*s
Propan-1-ol;480;5.830188679;10.94339623;726;233.2;84.93333333;230.5333333;3;MS1;µS*s
Ethylbenzene;0;0;0;0;0;0;0;3;MS1;µS*s
Ethylbenzene;0.48;0.094321648;0.272669483;38.36058383;10.69588222;10.25201004;37.659406;3;MS1;µS*s
Ethylbenzene;4.8;0.416110599;0.899862856;113.7075585;42.13092153;32.20691312;128.4859827;3;MS1;µS*s
Ethylbenzene;48;2.468682108;5.901306377;495.3643619;143.0753217;109.786848;454.4296179;3;MS1;µS*s
Ethylbenzene;96;4.817503527;11.6865306;884.2459;252.9756517;206.8940905;887.4958209;3;MS1;µS*s
Ethylbenzene;192;7.924528302;22.36981132;1452;410.0544;377.8666667;1440;3;MS1;µS*s
Ethylbenzene;384;14;31.24528302;2466.666667;689;717.3693333;2110.9;3;MS1;µS*s
n-Heptane;0;0;0;0;0;0;0;4;MS1;µS*s
n-Heptane;1.7;0.076891485;0.302941905;211.1587903;313.2798352;247.1632439;979.8385442;4;MS1;µS*s
n-Heptane;17;0.312003679;0.978058552;691.9931948;1118.487035;738.9810523;3888.799749;4;MS1;µS*s
n-Heptane;168;1.693105499;6.718483225;2803.939699;3721.544448;3106.866373;12666.48064;4;MS1;µS*s
n-Heptane;300;2.977122012;11.87534536;4660.09148;5936.84966;4530.586377;20540.95244;4;MS1;µS*s
n-Heptane;500;5.319943114;20.85634132;7524.106036;10822.38219;8128.351902;32589.01109;4;MS1;µS*s
Propan-1-ol;0;0;0;0;0;0;0;4;MS1;µS*s
Propan-1-ol;0.6;0.027471698;0.061022642;8.85532;2.132390832;1.116533333;2.412;4;MS1;µS*s
Propan-1-ol;6;0.121476226;0.201237736;26.855568;7.97918396;3.277852;10.71324788;4;MS1;µS*s
Propan-1-ol;60;0.677746419;1.527570299;116.995664;26.60439092;12.62486557;33.695258;4;MS1;µS*s
Propan-1-ol;120;1.276226415;3.028301887;202.6666667;47.52;22.8;59.4;4;MS1;µS*s
Propan-1-ol;240;2.638490566;5.830188679;400.9333333;97;47.6;110.4;4;MS1;µS*s
Propan-1-ol;480;5.716981132;11.70943396;830.8666667;204.6;94.26666667;245.7333333;4;MS1;µS*s
Ethylbenzene;0;0;0;0;0;0;0;4;MS1;µS*s
Ethylbenzene;0.48;0.100406916;0.22679985;38.7294356;10.69588222;10.15437185;36.8665764;4;MS1;µS*s
Ethylbenzene;4.8;0.416110599;0.848442121;110.1167935;37.44970802;30.3838803;144.1898251;4;MS1;µS*s
Ethylbenzene;48;2.396778746;6.144659217;474.5069151;134.6591263;123.0577856;498.4066776;4;MS1;µS*s
Ethylbenzene;96;4.817503527;13.02561223;988.8341248;237.4873465;222.466764;896.3707791;4;MS1;µS*s
Ethylbenzene;192;7.169811321;21.93962264;1320;448.497;356.0666667;1410;4;MS1;µS*s
Ethylbenzene;384;12.01886792;32.60377358;2491.333333;637;660.548;2173.6;4;MS1;µS*s
n-Heptane;0;0;0;0;0;0;0;5;MS1;µS*s
n-Heptane;1.7;0.070300787;0.299912486;213.2494714;307.5315813;244.7400748;1019.831954;5;MS1;µS*s
n-Heptane;17;0.300447987;1.049375321;651.2877128;976.1341393;723.8998064;3492.718293;5;MS1;µS*s
n-Heptane;168;1.710207575;7.14732258;2716.316583;3721.544448;3077.277169;12301.10139;5;MS1;µS*s
n-Heptane;300;3.253349828;13.15226422;4755.195388;6293.06064;4920.314237;20145.93413;5;MS1;µS*s
n-Heptane;500;5.217636516;21.92044036;7754.435812;10719.31189;7974.986772;33247.37495;5;MS1;µS*s
Propan-1-ol;0;0;0;0;0;0;0;5;MS1;µS*s
Propan-1-ol;0.6;0.03109434;0.061022642;7.36564;2.15289459;1.021733333;2.7336;5;MS1;µS*s
Propan-1-ol;6;0.121476226;0.213192453;26.58701232;7.543955744;3.21229496;9.55505892;5;MS1;µS*s
Propan-1-ol;60;0.684880592;1.414416943;124.0154038;24.51777203;13.6660916;32.704221;5;MS1;µS*s
Propan-1-ol;120;1.405283019;2.830188679;226.1333333;43.2;25.44;56.4;5;MS1;µS*s
Propan-1-ol;240;3.011320755;5.490566038;380.2666667;104;44.42666667;118.8;5;MS1;µS*s
Propan-1-ol;480;6.056603774;10.06792453;774.4;220;95.2;266;5;MS1;µS*s
Ethylbenzene;0;0;0;0;0;0;0;5;MS1;µS*s
Ethylbenzene;0.48;0.100406916;0.242089728;37.99173206;10.36508174;9.275628132;38.8486504;5;MS1;µS*s
Ethylbenzene;4.8;0.400106346;0.814161632;117.2983235;41.35071928;31.29539671;132.7688488;5;MS1;µS*s
Ethylbenzene;48;2.468682108;5.901306377;542.2936173;140.2699232;130.2964789;493.5203377;5;MS1;µS*s
Ethylbenzene;96;4.962028632;11.80826529;941.2940226;276.2081095;218.0174287;878.6208627;5;MS1;µS*s
Ethylbenzene;192;7.396226415;20.86415094;1466.666667;439.9542;352.4333333;1470;5;MS1;µS*s
Ethylbenzene;384;13.73584906;33.62264151;2565.333333;630.5;724.472;1985.5;5;MS1;µS*s
n-Heptane;0;0;0;0;0;0;0;6;MS1;µS*s
n-Heptane;1.7;0.068836187;0.312030162;200.7053849;287.4126928;254.4327511;939.8451343;6;MS1;µS*s
n-Heptane;17;0.306225833;1.018810991;712.3459359;1016.806395;754.0622983;3636.747913;6;MS1;µS*s
n-Heptane;168;1.641799272;6.647009999;2745.524289;3613.14995;2958.920355;13153.65297;6;MS1;µS*s
n-Heptane;300;3.007813992;12.13072913;4992.955157;5580.638681;4920.314237;19158.38834;6;MS1;µS*s
n-Heptane;500;5.217636516;20.85634132;7984.765589;10719.31189;7361.526251;34893.2846;6;MS1;µS*s
Propan-1-ol;0;0;0;0;0;0;0;6;MS1;µS*s
Propan-1-ol;0.6;0.032;0.0628;9.02084;2.0503758;1.0428;2.7068;6;MS1;µS*s
Propan-1-ol;6;0.12981283;0.201237736;24.43856688;6.746037348;2.9500668;9.362027427;6;MS1;µS*s
Propan-1-ol;60;0.713417283;1.428561113;116.995664;23.9961173;12.36455907;29.40076433;6;MS1;µS*s
Propan-1-ol;120;1.362264151;2.943396226;196.2666667;48.96;24.48;57.6;6;MS1;µS*s
Propan-1-ol;240;2.839245283;5.377358491;400.9333333;97;45.33333333;112.8;6;MS1;µS*s
Propan-1-ol;480;5.716981132;10.28679245;798.6;200.2;94.26666667;245.7333333;6;MS1;µS*s
Ethylbenzene;0;0;0;0;0;0;0;6;MS1;µS*s
Ethylbenzene;0.48;0.106492183;0.254831292;35.77862146;11.0266827;9.568542705;42.0199688;6;MS1;µS*s
Ethylbenzene;4.8;0.42811379;0.874152489;113.7075585;38.6200114;29.16852509;145.6174471;6;MS1;µS*s
Ethylbenzene;48;2.588521045;6.327173848;516.2218087;143.0753217;115.8190924;483.7476577;6;MS1;µS*s
Ethylbenzene;96;4.865678562;12.17346937;903.2619409;260.7198043;206.8940905;922.9956537;6;MS1;µS*s
Ethylbenzene;192;7.094339623;23.44528302;1408;444.2256;366.9666667;1455;6;MS1;µS*s
Ethylbenzene;384;12.81132075;36;2318.666667;643.5;724.472;1901.9;6;MS1;µS*s
